ProbeNo,Block,State,Distraction,Intention,Vigilance
1,1,1,NaN,NaN,1
2,1,1,NaN,NaN,1
3,1,1,NaN,NaN,1
4,1,1,NaN,NaN,1
5,1,2,3,NaN,2
6,1,1,NaN,NaN,1
7,1,1,NaN,NaN,1
8,1,2,3,NaN,2
9,1,1,NaN,NaN,1
10,1,2,2,2,2
1,2,1,NaN,NaN,1
2,2,1,NaN,NaN,1
3,2,2,2,2,2
4,2,2,3,NaN,2
5,2,2,2,2,2
6,2,2,2,3,2
7,2,2,3,NaN,2
8,2,1,NaN,NaN,2
9,2,1,NaN,NaN,2
10,2,1,NaN,NaN,2
1,3,2,2,2,2
2,3,1,NaN,NaN,2
3,3,1,NaN,NaN,2
4,3,1,NaN,NaN,2
5,3,2,3,NaN,2
6,3,1,NaN,NaN,2
7,3,2,2,3,2
8,3,2,3,NaN,2
9,3,1,NaN,NaN,2
10,3,1,NaN,NaN,2
1,4,2,3,NaN,2
2,4,2,2,3,2
3,4,1,NaN,NaN,2
4,4,2,3,NaN,2
5,4,1,NaN,NaN,2
6,4,1,NaN,NaN,2
7,4,1,NaN,NaN,2
8,4,1,NaN,NaN,2
9,4,2,3,NaN,2
10,4,3,NaN,NaN,2
